"ID";"State / Area";"Nationality ID";"State Key ID"
1;"Afghanistan";1;148
2;"Ägypten";2;103
3;"Albanien";3;2
4;"Algerien";4;53
5;"Amerik.-Jungferninseln";;145
6;"Amerik.-Samoa";;212
7;"Andorra";5;4
8;"Angola";6;54
9;"Anguilla";;144
10;"Antigua und Barbuda";7;108
11;"Äquatorialguinea";8;95
12;"Argentinien";9;110
13;"Armenien";10;147
14;"Aserbaidschan";11;150
15;"Äthiopien";12;56
16;"Australien, einschl. Kokosinseln, Weihnachtsinsel und Norfolk-Insel";13;194
17;"Bahamas";14;111
18;"Bahrain";15;149
19;"Bangladesch";16;176
20;"Barbados";17;109
21;"Belgien";18;5
22;"Belize";19;115
23;"Benin";20;59
24;"Bermuda";;144
25;"Bhutan";21;151
26;"Bolivien";22;112
27;"Bosnien und Herzegowina";23;3
28;"Botsuana";24;58
29;"Brasilien";25;113
30;"Brit.-Jungferninseln";;143
31;"Brunei Darussalam";26;153
32;"Bulgarien";27;6
33;"Burkina Faso";28;83
34;"Burundi";29;105
35;"Chile";30;116
36;"China";31;189
37;"Cookinseln";32;198
38;"Costa Rica";33;118
39;"Cote d'Ivoire";34;61
40;"Dänemark";35;7
41;"Deutschland";36;1
42;"Dominica";37;117
43;"Dominikanische Republik";37;119
44;"Dschibuti";38;60
45;"Ecuador, einschl. Galapagos-Inseln";39;120
46;"El Salvador";40;121
47;"Eritrea";41;55
48;"Estland";42;8
49;"Falklandinseln";;144
50;"Färöer";35;7
51;"Fidschi";43;197
52;"Finnland";44;9
53;"Frankreich, einschl. Korsika";45;10
54;"Franz.-Guayana";;145
55;"Franz.-Polynesien";;212
56;"Gabun";46;64
57;"Gambia";47;65
58;"Georgien";48;154
59;"Ghana";49;66
60;"Gibraltar";;51
61;"Grenada";50;122
62;"Griechenland";51;15
63;"Grönland";;145
64;"Großbritannien und Nordirland";52;47
65;"Guadeloupe";;145
66;"Guam";;212
67;"Guatemala";53;123
68;"Guinea";54;85
69;"Guinea-Bissau";55;84
70;"Guyana";56;114
71;"Haiti";57;124
72;"Honduras";58;125
73;"Hongkong";;192
74;"Indien, einschl. Sikkim und Goa";59;158
75;"Indonesien, einschl. Irian Jaya";60;159
76;"Insel Man";;51
77;"Irak";61;160
78;"Iran, Islamische Republik";62;161
79;"Irland";63;16
80;"Island";64;17
81;"Israel";65;162
82;"Italien";66;18
83;"Jamaika";67;131
84;"Japan";68;163
85;"Jemen";69;146
86;"Jordanien";70;165
87;"Jugoslawien";71;19
88;"Kaimaninseln";;144
89;"Kambodscha";72;166
90;"Kamerun";73;86
91;"Kanada";74;126
92;"Kanalinseln";;51
93;"Kap Verde";75;68
94;"Kasachstan";76;164
95;"Katar/Qatar";77;167
96;"Kenia";78;69
97;"Kirgisistan";79;170
98;"Kiribati";80;199
99;"Kolumbien";81;127
100;"Komoren";82;70
101;"Kongo";83;71
102;"Kongo, Dem. Republik";83;72
103;"Korea, Dem. Volksrepublik";84;157
104;"Korea, Republik";84;180
105;"Kosovo";;31
106;"Kroatien";85;11
107;"Kuba";86;128
108;"Kuwait";87;168
109;"Laos, Dem. Volksrepublik";88;169
110;"Lesotho";89;57
111;"Lettland";90;20
