"ID";"Language"
1;"Afrikaans"
2;"Albanisch"
3;"Amharisch"
4;"Arabisch"
5;"Armenisch"
6;"Aserbaidschanisch"
7;"Bengalisch"
8;"Bhutanisch"
9;"Birmanisch"
10;"Bislama"
11;"Bosnisch"
12;"Bulgarisch"
13;"Chichewa"
14;"Chinesisch"
15;"Dänisch"
16;"Dari"
17;"Deutsch"
18;"Englisch"
19;"Estnisch"
20;"Fidschianisch"
21;"Filipino (Tagalog)"
22;"Finnisch"
23;"Französisch"
24;"Georgisch"
25;"Gilbertesisch"
26;"Griechisch"
27;"Guaraní"
28;"Haitianisch"
29;"Hebräisch"
30;"Hindi"
31;"Indonesisch"
32;"Irisch"
33;"Isländisch"
34;"Italienisch"
35;"Japanisch"
36;"Kambodschanisch"
37;"Kasachisch"
38;"Katalanisch"
39;"Kirgisisch"
40;"Kirundi"
41;"Koreanisch"
42;"Kroatisch"
43;"Kurdisch"
44;"Laotisch"
45;"Lateinisch"
46;"Lettisch"
47;"Litauisch"
48;"Madagassisch"
49;"Malaiisch"
50;"Maledivisch"
51;"Maltesisch"
52;"Maori"
53;"Marshallesisch"
54;"Mazedonisch"
55;"Mongolisch"
56;"Montenegrinisch"
57;"Nauruisch"
58;"Ndebele"
59;"Nepalesisch"
60;"Niederländisch"
61;"Nordsotho"
62;"Northern Ireland"
63;"Norwegisch"
64;"Palauisch"
65;"Paschtu"
66;"Persisch"
67;"Polnisch"
68;"Portugiesisch"
69;"Rätoromanisch"
70;"Republika Srbija"
71;"Rumänisch"
72;"Russisch"
73;"Samoanisch"
74;"Sango"
75;"Schwedisch"
76;"Serbisch"
77;"Singhalesisch"
78;"Slowakisch"
79;"Slowenisch"
80;"Somali"
81;"Sotho"
82;"Spanisch"
83;"Suaheli"
84;"Südsotho"
85;"Swasi"
86;"Tadschikisch"
87;"Tamilisch"
88;"Tetum"
89;"Thailändisch"
90;"Tigrinja"
91;"Tok Pisin (Neomelanesisch)"
92;"Tongaisch"
93;"Tschechisch"
94;"Tsonga"
95;"Tsuana"
96;"Türkisch"
97;"Turkmenisch"
98;"Tuvalu(isch)"
99;"Ukrainisch"
100;"Ungarisch"
101;"Urdu"
102;"Usbekisch"
103;"Venda"
104;"Vietnamesisch"
105;"Weißrussisch"
106;"Xhosa"
107;"Zulu"
